,score
ENSG00000054148,0.025160182
ENSG00000087088,0.020779623
ENSG00000185088,0.018010149
ENSG00000161513,0.01618919
ENSG00000078237,0.015826087
ENSG00000164237,0.0147983385
ENSG00000136003,0.013955312
ENSG00000174775,0.013877578
ENSG00000170855,0.012981085
ENSG00000196072,0.012903122
ENSG00000113328,0.01271808
ENSG00000167196,0.012391993
ENSG00000159388,0.012195966
ENSG00000135679,0.011989793
ENSG00000168724,0.011899151
ENSG00000112249,0.011755029
ENSG00000149547,0.011587412
ENSG00000122786,0.011440534
ENSG00000038427,0.011373719
ENSG00000120868,0.010763752
ENSG00000108384,0.010675245
ENSG00000160789,0.010417363
ENSG00000151131,0.010287196
ENSG00000130005,0.010114287
ENSG00000055163,0.010039309
ENSG00000105372,0.010033235
ENSG00000203950,0.009900117
ENSG00000168061,0.009836411
ENSG00000163191,0.009736424
ENSG00000239672,0.009692807
ENSG00000203760,0.009384949
ENSG00000172667,0.009348256
ENSG00000105974,0.008850737
ENSG00000176912,0.008841058
ENSG00000119314,0.00878256
ENSG00000106992,0.008747591
ENSG00000090238,0.008656362
ENSG00000101439,0.008566445
ENSG00000119333,0.0085178735
ENSG00000087077,0.008515921
ENSG00000118640,0.008508589
ENSG00000151233,0.008496897
ENSG00000224877,0.008428254
ENSG00000154767,0.0084280325
ENSG00000090013,0.008418744
ENSG00000071127,0.008387727
ENSG00000244509,0.008386195
ENSG00000174307,0.008328878
ENSG00000163050,0.0081669055
ENSG00000124098,0.008117766
ENSG00000166130,0.008081585
ENSG00000107796,0.008072139
ENSG00000080546,0.008012624
ENSG00000176890,0.0080093425
ENSG00000232112,0.007933158
ENSG00000187840,0.007846172
ENSG00000196586,0.0077629588
ENSG00000163466,0.0077079087
ENSG00000120885,0.007617286
ENSG00000115129,0.00757338
ENSG00000218739,0.007563997
ENSG00000183072,0.0075589046
ENSG00000138069,0.007523981
ENSG00000132563,0.007499562
ENSG00000164070,0.007472884
ENSG00000139433,0.007441069
ENSG00000196220,0.0074100285
ENSG00000120889,0.0073309205
ENSG00000182220,0.007322359
ENSG00000188157,0.007299663
