,score
ENSG00000054148,0.029782588
ENSG00000087088,0.023646321
ENSG00000185088,0.02076427
ENSG00000161513,0.018709408
ENSG00000136003,0.017912075
ENSG00000078237,0.017761959
ENSG00000164237,0.017736612
ENSG00000174775,0.01601767
ENSG00000170855,0.015545669
ENSG00000113328,0.015176317
ENSG00000038427,0.014327308
ENSG00000135679,0.014287693
ENSG00000196072,0.014229616
ENSG00000167196,0.0141558405
ENSG00000120868,0.013904402
ENSG00000168724,0.013834064
ENSG00000151131,0.013729101
ENSG00000159388,0.01328474
ENSG00000122786,0.013272217
ENSG00000130005,0.01322105
ENSG00000149547,0.013099901
ENSG00000160789,0.012974438
ENSG00000108384,0.01260706
ENSG00000112249,0.012489365
ENSG00000187840,0.012378024
ENSG00000239672,0.01219392
ENSG00000163191,0.0118536
ENSG00000168061,0.01161781
ENSG00000203950,0.011538185
ENSG00000101439,0.011505012
ENSG00000119314,0.011299704
ENSG00000119333,0.011217894
ENSG00000055163,0.010882249
ENSG00000105974,0.010869494
ENSG00000106992,0.01078165
ENSG00000090238,0.010678755
ENSG00000105372,0.010628232
ENSG00000224877,0.010550713
ENSG00000203760,0.010528683
ENSG00000176912,0.010526157
ENSG00000154767,0.010462647
ENSG00000151233,0.010462158
ENSG00000120885,0.0104210945
ENSG00000196586,0.010366031
ENSG00000087086,0.010219098
ENSG00000118640,0.009977025
ENSG00000183072,0.009916476
ENSG00000172667,0.009840996
ENSG00000244509,0.009812134
ENSG00000080546,0.009780845
ENSG00000124098,0.009773825
ENSG00000163050,0.009707413
ENSG00000232112,0.009663583
ENSG00000135002,0.0096412795
ENSG00000139433,0.0096268905
ENSG00000176102,0.009538635
ENSG00000137500,0.009431283
ENSG00000182220,0.009409732
ENSG00000107796,0.009216082
ENSG00000166130,0.009113447
ENSG00000071127,0.00898956
ENSG00000090013,0.0087895375
ENSG00000127914,0.008778697
ENSG00000167904,0.008738723
ENSG00000276023,0.008717131
ENSG00000164070,0.008661009
ENSG00000196220,0.008660744
ENSG00000176890,0.008653314
ENSG00000165632,0.00862016
ENSG00000136048,0.008604098
ENSG00000161642,0.008588675
ENSG00000174307,0.0085432
ENSG00000138069,0.00854014
ENSG00000218739,0.0085400585
ENSG00000149809,0.008526538
ENSG00000087077,0.0085050855
ENSG00000132563,0.008504769
ENSG00000026103,0.008498987
ENSG00000141127,0.0084301755
ENSG00000196975,0.008371802
ENSG00000115129,0.008371668
ENSG00000134574,0.008250215
ENSG00000100075,0.0081676105
ENSG00000163466,0.0081304945
ENSG00000164611,0.008059198
ENSG00000075407,0.008044031
ENSG00000250479,0.008003048
ENSG00000145675,0.007924358
ENSG00000090266,0.007910159
ENSG00000100796,0.007858263
ENSG00000138794,0.0077962307
ENSG00000197321,0.007761708
ENSG00000111725,0.007676184
ENSG00000141027,0.007671761
ENSG00000277443,0.0076494575
ENSG00000092621,0.0075246035
ENSG00000168394,0.007502556
ENSG00000182199,0.0074751414
ENSG00000165891,0.007473962
ENSG00000178585,0.0074508814
ENSG00000213523,0.007444486
ENSG00000182165,0.007420005
ENSG00000120889,0.0074189454
ENSG00000110492,0.0073955404
ENSG00000148541,0.007356575
ENSG00000100219,0.007344401
ENSG00000135423,0.0073054233
ENSG00000100823,0.007293409
ENSG00000188157,0.007203062
ENSG00000168610,0.0071801282
ENSG00000198355,0.007081195
ENSG00000181467,0.0070678866
ENSG00000161179,0.00704703
ENSG00000168118,0.007029676
ENSG00000141504,0.006972152
ENSG00000100321,0.006928376
ENSG00000163956,0.0068944753
ENSG00000183688,0.0068831323
ENSG00000198931,0.006882064
ENSG00000171206,0.0068495288
ENSG00000131711,0.006810412
ENSG00000107874,0.006789951
ENSG00000116586,0.006771193
ENSG00000176485,0.0067567504
ENSG00000205302,0.0067423983
ENSG00000197324,0.0067029037
ENSG00000182551,0.0066985474
ENSG00000048740,0.006659972
ENSG00000229807,0.006654921
ENSG00000181026,0.006625578
ENSG00000137285,0.0066135293
ENSG00000064115,0.0065994873
ENSG00000188706,0.0065808594
ENSG00000121058,0.006579137
ENSG00000228474,0.006550505
ENSG00000249859,0.0065465244
ENSG00000119888,0.006540096
ENSG00000128567,0.0065173833
ENSG00000140463,0.006493705
ENSG00000166582,0.0064341226
ENSG00000160888,0.0064272983
ENSG00000160271,0.006426203
ENSG00000197852,0.006425229
ENSG00000139117,0.0064205662
ENSG00000089693,0.0064168856
ENSG00000240694,0.006413872
ENSG00000129682,0.006412916
ENSG00000100473,0.0063959016
ENSG00000065054,0.0063812686
ENSG00000119547,0.0063533187
